Entity,Code,Year,Oil - Proved reserves
Africa,,1980,53436518000
Africa,,1981,56281772000
Africa,,1982,58270780000
Africa,,1983,58038758000
Africa,,1984,57766581000
Africa,,1985,57037383330
Africa,,1986,57966056670
Africa,,1987,58663580000
Africa,,1988,58996753330
Africa,,1989,59086526670
Africa,,1990,58725810000
Africa,,1991,60371982330
Africa,,1992,61079080670
Africa,,1993,61233073000
Africa,,1994,65008346000
Africa,,1995,71952928000
Africa,,1996,74932238000
Africa,,1997,75258786000
Africa,,1998,77172286000
Africa,,1999,84719524000
Africa,,2000,92904433000
Africa,,2001,96607551000
Africa,,2002,101601438000
Africa,,2003,106524338000
Africa,,2004,107902838000
Africa,,2005,111748997000
Africa,,2006,117579526000
Africa,,2007,120038074000
Africa,,2008,120751290000
Africa,,2009,122973490000
Africa,,2010,124948122000
Africa,,2011,124622022000
Africa,,2012,127369112000
Africa,,2013,127521412000
Africa,,2014,126756648700
Africa,,2015,127627975300
Africa,,2016,127881572000
Africa,,2017,126617971000
Africa,,2018,125706370100
Africa,,2019,125027883900
Africa,,2020,125111950100
Algeria,DZA,1980,8199999999.999999
Algeria,DZA,1981,8080000000
Algeria,DZA,1982,9440000000
Algeria,DZA,1983,9220000000
Algeria,DZA,1984,9000000000
Algeria,DZA,1985,8820000000
Algeria,DZA,1986,8800000000
Algeria,DZA,1987,8564000000
Algeria,DZA,1988,9200000000
Algeria,DZA,1989,9236000000
Algeria,DZA,1990,9200000000
Algeria,DZA,1991,9200000000
Algeria,DZA,1992,9200000000
Algeria,DZA,1993,9200000000
Algeria,DZA,1994,9979000000
Algeria,DZA,1995,9979000000
Algeria,DZA,1996,10800000000
Algeria,DZA,1997,11200000000
Algeria,DZA,1998,11314000000
Algeria,DZA,1999,11314000000
Algeria,DZA,2000,11314000000
Algeria,DZA,2001,11314000000
Algeria,DZA,2002,11314000000
Algeria,DZA,2003,11800000000
Algeria,DZA,2004,11800000000
Algeria,DZA,2005,12270000000
Algeria,DZA,2006,12270000000
Algeria,DZA,2007,12200000000
Algeria,DZA,2008,12200000000
Algeria,DZA,2009,12200000000
Algeria,DZA,2010,12200000000
Algeria,DZA,2011,12200000000
Algeria,DZA,2012,12200000000
Algeria,DZA,2013,12200000000
Algeria,DZA,2014,12200000000
Algeria,DZA,2015,12200000000
Algeria,DZA,2016,12200000000
Algeria,DZA,2017,12200000000
Algeria,DZA,2018,12200000000
Algeria,DZA,2019,12200000000
Algeria,DZA,2020,12200000000
Angola,AGO,1980,1375000000
Angola,AGO,1981,1108000000
Angola,AGO,1982,1457000000
Angola,AGO,1983,1715000000
Angola,AGO,1984,2146999999.9999998
Angola,AGO,1985,2017999999.9999998
Angola,AGO,1986,1400000000
Angola,AGO,1987,2000000000
Angola,AGO,1988,2000000000
Angola,AGO,1989,2073999999.9999998
Angola,AGO,1990,1625000000
Angola,AGO,1991,1450000000
Angola,AGO,1992,1334000000
Angola,AGO,1993,1901000000
Angola,AGO,1994,2965000000
Angola,AGO,1995,3125000000
Angola,AGO,1996,3695000000
Angola,AGO,1997,3900000000
Angola,AGO,1998,4030000000.0000005
Angola,AGO,1999,5050000000
Angola,AGO,2000,5972000000
Angola,AGO,2001,6500000000
Angola,AGO,2002,8900000000
Angola,AGO,2003,8801000000
Angola,AGO,2004,9035000000
Angola,AGO,2005,9050000000
Angola,AGO,2006,9330000000
Angola,AGO,2007,9500000000
Angola,AGO,2008,9500000000
Angola,AGO,2009,9500000000
Angola,AGO,2010,9055000000
Angola,AGO,2011,9055000000
Angola,AGO,2012,9055000000
Angola,AGO,2013,9011000000
Angola,AGO,2014,8423000000
Angola,AGO,2015,9524000000
Angola,AGO,2016,9523000000
Angola,AGO,2017,8384000000
Angola,AGO,2018,8160000000
Angola,AGO,2019,7783000000
Angola,AGO,2020,7783000000
Argentina,ARG,1980,2457000000
Argentina,ARG,1981,2171652000
Argentina,ARG,1982,1949600000
Argentina,ARG,1983,2449769000
Argentina,ARG,1984,2349000000
Argentina,ARG,1985,2240000000
Argentina,ARG,1986,2233000000
Argentina,ARG,1987,2246000000
Argentina,ARG,1988,2279900000
Argentina,ARG,1989,2167700000
Argentina,ARG,1990,1569987080
Argentina,ARG,1991,1683266572
Argentina,ARG,1992,2017437927
Argentina,ARG,1993,2216787188
Argentina,ARG,1994,2252632820
Argentina,ARG,1995,2386366776
Argentina,ARG,1996,2600434195
Argentina,ARG,1997,2621177991
Argentina,ARG,1998,2753414972
Argentina,ARG,1999,3071188790
Argentina,ARG,2000,2973703013
Argentina,ARG,2001,2878682842
Argentina,ARG,2002,2820508383
Argentina,ARG,2003,2674509296
Argentina,ARG,2004,2478009318
Argentina,ARG,2005,2180262886
Argentina,ARG,2006,2586760146
Argentina,ARG,2007,2616020346
Argentina,ARG,2008,2520308296
Argentina,ARG,2009,2511496271
Argentina,ARG,2010,2524151720
Argentina,ARG,2011,2525000000
Argentina,ARG,2012,2354209480
Argentina,ARG,2013,2329584141
Argentina,ARG,2014,2379708948
Argentina,ARG,2015,2394723984
Argentina,ARG,2016,2162209054
Argentina,ARG,2017,2016765043
Argentina,ARG,2018,2386858073
Argentina,ARG,2019,2482707493
Argentina,ARG,2020,2482707493
Asia Pacific,,1980,33573171230
Asia Pacific,,1981,34451545510
Asia Pacific,,1982,34398882310
Asia Pacific,,1983,35589313950
Asia Pacific,,1984,36846454470
Asia Pacific,,1985,37105743300
Asia Pacific,,1986,37750594710
Asia Pacific,,1987,37973469860
Asia Pacific,,1988,38181718950
Asia Pacific,,1989,32901428400
Asia Pacific,,1990,34655928990
Asia Pacific,,1991,36817730910
Asia Pacific,,1992,36280979000
Asia Pacific,,1993,36570320970
Asia Pacific,,1994,36581662120
Asia Pacific,,1995,36408248490
Asia Pacific,,1996,36445923020
Asia Pacific,,1997,37787416700
Asia Pacific,,1998,39483554050
Asia Pacific,,1999,37027733900
Asia Pacific,,2000,37672133540
Asia Pacific,,2001,38824546530
Asia Pacific,,2002,38948533910
Asia Pacific,,2003,38653546140
Asia Pacific,,2004,41519403350
Asia Pacific,,2005,41463856740
Asia Pacific,,2006,42805422680
Asia Pacific,,2007,43278662790
Asia Pacific,,2008,45952275740
Asia Pacific,,2009,46596797170
Asia Pacific,,2010,47783719430
Asia Pacific,,2011,47852640280
Asia Pacific,,2012,48522280180
Asia Pacific,,2013,49101270990
Asia Pacific,,2014,47663676720
Asia Pacific,,2015,46575055820
Asia Pacific,,2016,45909677310
Asia Pacific,,2017,45786264380
Asia Pacific,,2018,45906202960
Asia Pacific,,2019,45348929260
Asia Pacific,,2020,45158720950
Australia,AUS,1980,2122811126.0000002
Australia,AUS,1981,2618448213
Australia,AUS,1982,2931051807
Australia,AUS,1983,2490765055
Australia,AUS,1984,2559952973
Australia,AUS,1985,2459316001
Australia,AUS,1986,2874443510
Australia,AUS,1987,2905892564
Australia,AUS,1988,3188934047
Australia,AUS,1989,3100876697
Australia,AUS,1990,3157484993
Australia,AUS,1991,3226672912
Australia,AUS,1992,3220383101
Australia,AUS,1993,3258121965
Australia,AUS,1994,3817915122
Australia,AUS,1995,3799045689
Australia,AUS,1996,3817915122
Australia,AUS,1997,4038058498
Australia,AUS,1998,4773966355
Australia,AUS,1999,4742517301
Australia,AUS,2000,4943791245
Australia,AUS,2001,4956370866
Australia,AUS,2002,4572692411
Australia,AUS,2003,3749437952
Australia,AUS,2004,3889260445
Australia,AUS,2005,3718341128
Australia,AUS,2006,3514519810
Australia,AUS,2007,3428959515
Australia,AUS,2008,4239200355.0000005
Australia,AUS,2009,4061399985.0000005
Australia,AUS,2010,3831079695
Australia,AUS,2011,3872944676
Australia,AUS,2012,3921967461
Australia,AUS,2013,3957498602
Australia,AUS,2014,2390342096
Australia,AUS,2015,2390342096
Australia,AUS,2016,2390342096
Australia,AUS,2017,2390342096
Australia,AUS,2018,2390342096
Australia,AUS,2019,2390342096
Australia,AUS,2020,2390342096
Azerbaijan,AZE,1991,1254000000
Azerbaijan,AZE,1992,1254000000
Azerbaijan,AZE,1993,1254000000
Azerbaijan,AZE,1994,1157000000
Azerbaijan,AZE,1995,1157000000
Azerbaijan,AZE,1996,1157000000
Azerbaijan,AZE,1997,1157000000
Azerbaijan,AZE,1998,1157000000
Azerbaijan,AZE,1999,1178000000
Azerbaijan,AZE,2000,1178000000
Azerbaijan,AZE,2001,1178000000
Azerbaijan,AZE,2002,7000000000
Azerbaijan,AZE,2003,7000000000
Azerbaijan,AZE,2004,7000000000
Azerbaijan,AZE,2005,7000000000
Azerbaijan,AZE,2006,7000000000
Azerbaijan,AZE,2007,7000000000
Azerbaijan,AZE,2008,7000000000
Azerbaijan,AZE,2009,7000000000
Azerbaijan,AZE,2010,7000000000
Azerbaijan,AZE,2011,7000000000
Azerbaijan,AZE,2012,7000000000
Azerbaijan,AZE,2013,7000000000
Azerbaijan,AZE,2014,7000000000
Azerbaijan,AZE,2015,7000000000
Azerbaijan,AZE,2016,7000000000
Azerbaijan,AZE,2017,7000000000
Azerbaijan,AZE,2018,7000000000
Azerbaijan,AZE,2019,7000000000
Azerbaijan,AZE,2020,7000000000
Brazil,BRA,1980,1317966943
Brazil,BRA,1981,1475841193
Brazil,BRA,1982,1718439193
Brazil,BRA,1983,1849833340
Brazil,BRA,1984,2016010140
Brazil,BRA,1985,2168060025
Brazil,BRA,1986,2358414857
Brazil,BRA,1987,2550757269
Brazil,BRA,1988,2816136964
Brazil,BRA,1989,2759836868
Brazil,BRA,1990,4513039846
Brazil,BRA,1991,4818340969
Brazil,BRA,1992,4965742684
Brazil,BRA,1993,4982159090
Brazil,BRA,1994,5374442007
Brazil,BRA,1995,6223044403
Brazil,BRA,1996,6680678453
Brazil,BRA,1997,7105945137
Brazil,BRA,1998,7357254525
Brazil,BRA,1999,8153311842.000001
Brazil,BRA,2000,8464487649.000001
Brazil,BRA,2001,8485199996
Brazil,BRA,2002,9804286526
Brazil,BRA,2003,10601589230
Brazil,BRA,2004,11243036700
Brazil,BRA,2005,11772261380
Brazil,BRA,2006,12182000000
Brazil,BRA,2007,12623830000
Brazil,BRA,2008,12801420000
Brazil,BRA,2009,12875670000
Brazil,BRA,2010,14246330000
Brazil,BRA,2011,15049890000
Brazil,BRA,2012,15314221000
Brazil,BRA,2013,15544435220
Brazil,BRA,2014,16184112290.000002
Brazil,BRA,2015,12999781290
Brazil,BRA,2016,12633719560
Brazil,BRA,2017,12793924800
Brazil,BRA,2018,13435306570
Brazil,BRA,2019,12714600000
Brazil,BRA,2020,11925011330
Brunei,BRN,1980,1294000000
Brunei,BRN,1981,1500000000
Brunei,BRN,1982,1445250000
Brunei,BRN,1983,1527000000
Brunei,BRN,1984,1470270000
Brunei,BRN,1985,1443000000
Brunei,BRN,1986,1475000000
Brunei,BRN,1987,1600000000
Brunei,BRN,1988,1200000000
Brunei,BRN,1989,1151700000
Brunei,BRN,1990,1124000000
Brunei,BRN,1991,1150000000
Brunei,BRN,1992,1130000000
Brunei,BRN,1993,1250000000
Brunei,BRN,1994,1188000000
Brunei,BRN,1995,1124000000
Brunei,BRN,1996,1090000000
Brunei,BRN,1997,1060000000
Brunei,BRN,1998,1020000000
Brunei,BRN,1999,1300000000
Brunei,BRN,2000,1230000000
Brunei,BRN,2001,1160000000
Brunei,BRN,2002,1100000000
Brunei,BRN,2003,1050000000
Brunei,BRN,2004,1120300000
Brunei,BRN,2005,1105000000
Brunei,BRN,2006,1200000000
Brunei,BRN,2007,1078000000
Brunei,BRN,2008,1078000000
Brunei,BRN,2009,1100000000
Brunei,BRN,2010,1100000000
Brunei,BRN,2011,1100000000
Brunei,BRN,2012,1100000000
Brunei,BRN,2013,1100000000
Brunei,BRN,2014,1100000000
Brunei,BRN,2015,1100000000
Brunei,BRN,2016,1100000000
Brunei,BRN,2017,1100000000
Brunei,BRN,2018,1100000000
Brunei,BRN,2019,1100000000
Brunei,BRN,2020,1100000000
CIS,,1980,67000000000
CIS,,1981,63000000000
CIS,,1982,63000000000
CIS,,1983,63000000000
CIS,,1984,63000000000
CIS,,1985,63000000000
CIS,,1986,61000000000
CIS,,1987,59000000000
CIS,,1988,59000000000
CIS,,1989,58500000000
CIS,,1990,58400000000
CIS,,1991,123647865000
CIS,,1992,123647865000
CIS,,1993,122575283000
CIS,,1994,122609283000
CIS,,1995,121139631000
CIS,,1996,121471831000
CIS,,1997,120976993400
CIS,,1998,121058993400
CIS,,1999,120080022600
CIS,,2000,120080022600
CIS,,2001,119263177000
CIS,,2002,123467250600
CIS,,2003,125156699000
CIS,,2004,122853680000
CIS,,2005,121794815000
CIS,,2006,121477724000
CIS,,2007,144871029000
CIS,,2008,144810166000
CIS,,2009,144007953000
CIS,,2010,144244351800
CIS,,2011,144153449600
CIS,,2012,143935586000
CIS,,2013,143460416400
CIS,,2014,141607892000
CIS,,2015,140819200000
CIS,,2016,144726890000
CIS,,2017,145035534000
CIS,,2018,145664779400
CIS,,2019,146248239200
CIS,,2020,146248239200
Canada,CAN,1980,39527523100
Canada,CAN,1981,40175335870
Canada,CAN,1982,40312095230
Canada,CAN,1983,40491260490
Canada,CAN,1984,40531766870
Canada,CAN,1985,40939038400
Canada,CAN,1986,41102001110
Canada,CAN,1987,41201260610
Canada,CAN,1988,41467759890
Canada,CAN,1989,41295702120
Canada,CAN,1990,40293835910
Canada,CAN,1991,40098361170
Canada,CAN,1992,39633990730
Canada,CAN,1993,39495721820
Canada,CAN,1994,48149205700
Canada,CAN,1995,48366556400
Canada,CAN,1996,48942627590
Canada,CAN,1997,48803094430
Canada,CAN,1998,49823087880
Canada,CAN,1999,181560450400
Canada,CAN,2000,181503697500
Canada,CAN,2001,180940948100
Canada,CAN,2002,180400005500
Canada,CAN,2003,179902946900
Canada,CAN,2004,179576046600
Canada,CAN,2005,180044109100
Canada,CAN,2006,179361960300
Canada,CAN,2007,178834025000
Canada,CAN,2008,176349920900
Canada,CAN,2009,175015216800
Canada,CAN,2010,174848021000
Canada,CAN,2011,174176873000
Canada,CAN,2012,173716100400
Canada,CAN,2013,173037536700
Canada,CAN,2014,172155994600
Canada,CAN,2015,171512307900
Canada,CAN,2016,170528323600
Canada,CAN,2017,171791682500
Canada,CAN,2018,170732189000
Canada,CAN,2019,169124909600
Canada,CAN,2020,168087610800
Chad,TCD,1980,0
Chad,TCD,1981,0
Chad,TCD,1982,0
Chad,TCD,1983,0
Chad,TCD,1984,0
Chad,TCD,1985,0
Chad,TCD,1986,0
Chad,TCD,1987,0
Chad,TCD,1988,0
Chad,TCD,1989,0
Chad,TCD,1990,0
Chad,TCD,1991,0
Chad,TCD,1992,0
Chad,TCD,1993,0
Chad,TCD,1994,0
Chad,TCD,1995,0
Chad,TCD,1996,0
Chad,TCD,1997,0
Chad,TCD,1998,0
Chad,TCD,1999,0
Chad,TCD,2000,900000000
Chad,TCD,2001,900000000
Chad,TCD,2002,900000000
Chad,TCD,2003,900000000
Chad,TCD,2004,900000000
Chad,TCD,2005,1500000000
Chad,TCD,2006,1500000000
Chad,TCD,2007,1500000000
Chad,TCD,2008,1500000000
Chad,TCD,2009,1500000000
Chad,TCD,2010,1500000000
Chad,TCD,2011,1500000000
Chad,TCD,2012,1500000000
Chad,TCD,2013,1500000000
Chad,TCD,2014,1500000000
Chad,TCD,2015,1500000000
Chad,TCD,2016,1500000000
Chad,TCD,2017,1500000000
Chad,TCD,2018,1500000000
Chad,TCD,2019,1500000000
Chad,TCD,2020,1500000000
China,CHN,1980,13352621200
China,CHN,1981,13290462800
China,CHN,1982,13258870500
China,CHN,1983,14880852900
China,CHN,1984,16364591500
China,CHN,1985,17087696000.000002
China,CHN,1986,17161289199.999998
China,CHN,1987,17423483300
China,CHN,1988,17283626900
China,CHN,1989,16058490700
China,CHN,1990,16019715000.000002
China,CHN,1991,15513212000
China,CHN,1992,15193110900
China,CHN,1993,16435326000
China,CHN,1994,16257940000.000002
China,CHN,1995,16355062499.999998
China,CHN,1996,16444488499.999998
China,CHN,1997,17021506100
China,CHN,1998,17422823600
China,CHN,1999,15111900000
China,CHN,2000,15190300000
China,CHN,2001,15411500000
China,CHN,2002,15508700000
China,CHN,2003,15475700000
China,CHN,2004,18258876070
China,CHN,2005,18249655660
China,CHN,2006,20220299780
China,CHN,2007,20762501340
China,CHN,2008,21186851900
China,CHN,2009,21617621340
China,CHN,2010,23268007490
China,CHN,2011,23746847070
China,CHN,2012,24427835590
China,CHN,2013,24682514970
China,CHN,2014,25166455500
China,CHN,2015,25626464310
China,CHN,2016,25663817990
China,CHN,2017,25948200000
China,CHN,2018,26190090000
China,CHN,2019,25962757380
China,CHN,2020,25962757380
Colombia,COL,1980,550000000
Colombia,COL,1981,530000000
Colombia,COL,1982,610000000
Colombia,COL,1983,640000000
Colombia,COL,1984,1100000000
Colombia,COL,1985,1240000000
Colombia,COL,1986,1700000000
Colombia,COL,1987,1910000000
Colombia,COL,1988,2049999999.9999998
Colombia,COL,1989,1980000000
Colombia,COL,1990,1990000000
Colombia,COL,1991,1884600000
Colombia,COL,1992,3231900000
Colombia,COL,1993,3156400000
Colombia,COL,1994,3139000000
Colombia,COL,1995,2951900000
Colombia,COL,1996,2798000000
Colombia,COL,1997,2577200000
Colombia,COL,1998,2477800000
Colombia,COL,1999,2289200000
Colombia,COL,2000,1971900000
Colombia,COL,2001,1842200000
Colombia,COL,2002,1631700000
Colombia,COL,2003,1542400000
Colombia,COL,2004,1477600000
Colombia,COL,2005,1453200000
Colombia,COL,2006,1509400000
Colombia,COL,2007,1510000000
Colombia,COL,2008,1362000000
Colombia,COL,2009,1360000000
Colombia,COL,2010,1900000000
Colombia,COL,2011,1987600000
Colombia,COL,2012,2200000000
Colombia,COL,2013,2377000000
Colombia,COL,2014,2445000000
Colombia,COL,2015,2308000000
Colombia,COL,2016,2001999999.9999998
Colombia,COL,2017,1665490000
Colombia,COL,2018,1782208000
Colombia,COL,2019,1960000000
Colombia,COL,2020,2036000000
Congo,COG,1980,705440000
Congo,COG,1981,733045000
Congo,COG,1982,754425000
Congo,COG,1983,738345000
Congo,COG,1984,798431000
Congo,COG,1985,756000000
Congo,COG,1986,719700000
Congo,COG,1987,695000000
Congo,COG,1988,750000000
Congo,COG,1989,710000000
Congo,COG,1990,754500000
Congo,COG,1991,698300000
Congo,COG,1992,725000000
Congo,COG,1993,650500000
Congo,COG,1994,1412700000
Congo,COG,1995,1349700000
Congo,COG,1996,1600000000
Congo,COG,1997,1615000000
Congo,COG,1998,1700000000
Congo,COG,1999,1700000000
Congo,COG,2000,1505913000
Congo,COG,2001,1505913000
Congo,COG,2002,1515000000
Congo,COG,2003,1785000000
Congo,COG,2004,1784000000
Congo,COG,2005,1905000000
Congo,COG,2006,1940000000
Congo,COG,2007,1940000000
Congo,COG,2008,1940000000
Congo,COG,2009,2000000000
Congo,COG,2010,2000000000
Congo,COG,2011,2000000000
Congo,COG,2012,2000000000
Congo,COG,2013,2673000000
Congo,COG,2014,2867000000
Congo,COG,2015,2982000000
Congo,COG,2016,2982000000
Congo,COG,2017,2982000000
Congo,COG,2018,2982000000
Congo,COG,2019,2882000000
Congo,COG,2020,2882000000
Denmark,DNK,1980,450000000
Denmark,DNK,1981,371000000
Denmark,DNK,1982,327070159
Denmark,DNK,1983,308200726
Denmark,DNK,1984,465445995
Denmark,DNK,1985,446576563
Denmark,DNK,1986,402547888
Denmark,DNK,1987,402547888
Denmark,DNK,1988,540923724
Denmark,DNK,1989,628981074
Denmark,DNK,1990,591242210
Denmark,DNK,1991,616401453
Denmark,DNK,1992,748487479
Denmark,DNK,1993,704458803
Denmark,DNK,1994,754777289
Denmark,DNK,1995,912022558
Denmark,DNK,1996,861704072
Denmark,DNK,1997,943471612
Denmark,DNK,1998,880573504
Denmark,DNK,1999,905732747
Denmark,DNK,2000,1113296502
Denmark,DNK,2001,1346019499
Denmark,DNK,2002,1276831581
Denmark,DNK,2003,1276831581
Denmark,DNK,2004,1327150067
Denmark,DNK,2005,1276831581
Denmark,DNK,2006,1157325177
Denmark,DNK,2007,1113296502
Denmark,DNK,2008,811385586
Denmark,DNK,2009,918312369
Denmark,DNK,2010,899442936
Denmark,DNK,2011,805095775
Denmark,DNK,2012,729618046
Denmark,DNK,2013,673009750
Denmark,DNK,2014,610111642
Denmark,DNK,2015,490605238
Denmark,DNK,2016,440286752
Denmark,DNK,2017,427707131
Denmark,DNK,2018,440286752
Denmark,DNK,2019,427707131
Denmark,DNK,2020,427707131
Ecuador,ECU,1980,569103995
Ecuador,ECU,1981,528315968
Ecuador,ECU,1982,534101089
Ecuador,ECU,1983,515226400.99999994
Ecuador,ECU,1984,664470841
Ecuador,ECU,1985,670840318
Ecuador,ECU,1986,721737698
Ecuador,ECU,1987,931638257
Ecuador,ECU,1988,885240416
Ecuador,ECU,1989,842407145
Ecuador,ECU,1990,791918815
Ecuador,ECU,1991,890791795
Ecuador,ECU,1992,1893312396
Ecuador,ECU,1993,2138624909.9999998
Ecuador,ECU,1994,2040102542
Ecuador,ECU,1995,1978219276
Ecuador,ECU,1996,2017780155
Ecuador,ECU,1997,2146922759.9999998
Ecuador,ECU,1998,2397026990
Ecuador,ECU,1999,2587526941
Ecuador,ECU,2000,2668168025
Ecuador,ECU,2001,3422921818
Ecuador,ECU,2002,3731338901
Ecuador,ECU,2003,3725910237
Ecuador,ECU,2004,3656085577
Ecuador,ECU,2005,2639534597
Ecuador,ECU,2006,2445528511
Ecuador,ECU,2007,2510391992
Ecuador,ECU,2008,2499289234
Ecuador,ECU,2009,2662908824
Ecuador,ECU,2010,2067450388.0000002
Ecuador,ECU,2011,2009014820
Ecuador,ECU,2012,1942398273
Ecuador,ECU,2013,2056931986
Ecuador,ECU,2014,1772935126
Ecuador,ECU,2015,1806243400
Ecuador,ECU,2016,1703750300
Ecuador,ECU,2017,1632307700
Ecuador,ECU,2018,1302547100
Ecuador,ECU,2019,1302547100
Ecuador,ECU,2020,1302547100
Egypt,EGY,1980,2916450000
Egypt,EGY,1981,3530300000
Egypt,EGY,1982,3699625000
Egypt,EGY,1983,3958599000
Egypt,EGY,1984,4025600000
Egypt,EGY,1985,3800000000
Egypt,EGY,1986,4500000000
Egypt,EGY,1987,4685000000
Egypt,EGY,1988,4270500000
Egypt,EGY,1989,4300000000
Egypt,EGY,1990,3459000000
Egypt,EGY,1991,3535300000
Egypt,EGY,1992,3435000000
Egypt,EGY,1993,3425000000
Egypt,EGY,1994,3941000000
Egypt,EGY,1995,3804000000
Egypt,EGY,1996,3843500000
Egypt,EGY,1997,3719000000
Egypt,EGY,1998,3756700000
Egypt,EGY,1999,3767000000
Egypt,EGY,2000,3626900000
Egypt,EGY,2001,3668000000
Egypt,EGY,2002,3525000000
Egypt,EGY,2003,3525000000
Egypt,EGY,2004,3620000000
Egypt,EGY,2005,3720000000
Egypt,EGY,2006,3720000000
Egypt,EGY,2007,4070000000.0000005
Egypt,EGY,2008,4200000000
Egypt,EGY,2009,4400000000
Egypt,EGY,2010,4500000000
Egypt,EGY,2011,4300000000
Egypt,EGY,2012,4200000000
Egypt,EGY,2013,3900000000
Egypt,EGY,2014,3681000000
Egypt,EGY,2015,3473000000
Egypt,EGY,2016,3384000000
Egypt,EGY,2017,3325000000
Egypt,EGY,2018,3197000000
Egypt,EGY,2019,3146000000
Egypt,EGY,2020,3146000000
Equatorial Guinea,GNQ,1991,300000000
Equatorial Guinea,GNQ,1992,300000000
Equatorial Guinea,GNQ,1993,300000000
Equatorial Guinea,GNQ,1994,300000000
Equatorial Guinea,GNQ,1995,555000000
Equatorial Guinea,GNQ,1996,555000000
Equatorial Guinea,GNQ,1997,555000000
Equatorial Guinea,GNQ,1998,555000000
Equatorial Guinea,GNQ,1999,555000000
Equatorial Guinea,GNQ,2000,800000000
Equatorial Guinea,GNQ,2001,1110000000
Equatorial Guinea,GNQ,2002,1095000000
Equatorial Guinea,GNQ,2003,1280000000
Equatorial Guinea,GNQ,2004,1765000000
Equatorial Guinea,GNQ,2005,1805000000
Equatorial Guinea,GNQ,2006,1755000000
Equatorial Guinea,GNQ,2007,1705000000
Equatorial Guinea,GNQ,2008,1705000000
Equatorial Guinea,GNQ,2009,1705000000
Equatorial Guinea,GNQ,2010,1705000000
Equatorial Guinea,GNQ,2011,1705000000
Equatorial Guinea,GNQ,2012,1705000000
Equatorial Guinea,GNQ,2013,1705000000
Equatorial Guinea,GNQ,2014,1100000000
Equatorial Guinea,GNQ,2015,1100000000
Equatorial Guinea,GNQ,2016,1100000000
Equatorial Guinea,GNQ,2017,1100000000
Equatorial Guinea,GNQ,2018,1100000000
Equatorial Guinea,GNQ,2019,1100000000
Equatorial Guinea,GNQ,2020,1100000000
Europe,,1980,16578474150.000002
Europe,,1981,15768626500
Europe,,1982,15329862520
Europe,,1983,16410601860
Europe,,1984,15761531810
Europe,,1985,16301576290
Europe,,1986,16509034920.000002
Europe,,1987,16343906460
Europe,,1988,17245934340
Europe,,1989,16879922270.000002
Europe,,1990,17510329350
Europe,,1991,18284077390
Europe,,1992,19156707780
Europe,,1993,18595737080
Europe,,1994,18553202000
Europe,,1995,20012254520
Europe,,1996,21372662730
Europe,,1997,21681420240
Europe,,1998,21376258850
Europe,,1999,20733155670
Europe,,2000,21043582520
Europe,,2001,21176753530
Europe,,2002,19224887560
Europe,,2003,18794901330
Europe,,2004,17966775570
Europe,,2005,17697840230
Europe,,2006,16133564740
Europe,,2007,15494499740
Europe,,2008,14179297300
Europe,,2009,13999276510
Europe,,2010,13627595400
Europe,,2011,13893566210
Europe,,2012,14248286710
Europe,,2013,13701323200
Europe,,2014,12891921100
Europe,,2015,13921344280
Europe,,2016,13148796230
Europe,,2017,13616650070
Europe,,2018,14524626400
Europe,,2019,14195733600
Europe,,2020,13628963060
European Union,,1980,3342482591
European Union,,1981,3121481834
European Union,,1982,3201138693
European Union,,1983,3790829964
European Union,,1984,4027302801.0000005
European Union,,1985,4004815801.0000005
European Union,,1986,3950529693
European Union,,1987,3820621883
European Union,,1988,3977865287
European Union,,1989,3879687205
European Union,,1990,4241456644.0000005
European Union,,1991,4316793887
European Union,,1992,3948657480
European Union,,1993,3605070247
European Union,,1994,3678959748
European Union,,1995,3788863846
European Union,,1996,3729146325
European Union,,1997,3513798596
European Union,,1998,3602600088
European Union,,1999,3802530675
European Union,,2000,3929137439
European Union,,2001,4047782394.9999995
European Union,,2002,3325219335
European Union,,2003,3363050941
European Union,,2004,3264733684
European Union,,2005,3152451913
